"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	20	"AN14 "	" oneCued "	0	" right "	8	90	"P "	0	7	"F "	0	5	0	-1	"LGDKVYPOFSQNURZXIAMHETBJ"	"GXSVPQYURFZODHANBKIJTEML"	"XBESUFIQDHLONZTPAMRYJKVG"	"HQJNLOGKAUYZSXVEDTBRFIMP"	"ATUPFQZXESIJHGNVBYKLDORM"	"ZRUVJGPFOTHIQAKYLEMNXSBD"	"RNAUFVHLTJGYBSZKQODEIXPM"	"IXQUNJFVLDMTKHSPAYRBOZGE"	0	6	FALSE
"main"	21	"AN14 "	" oneCued "	0	" right "	8	270	"O "	0	6	"V "	0	2	0	1	"FNRVUTIJLESGYAZQDMXHPBOK"	"EILRANYKXBFGQJMHTZSOPUVD"	"MRIKSNVOPYQFBUXDHELTGJZA"	"ARSMQDEGYZNFULTHBOXIVKPJ"	"ADJPHTLBFXNVYKSZROQUMEGI"	"JGLXHIARYMTZDOFPKSNVEUQB"	"GMLBSRYHVEOUNTQJFDKZAIXP"	"TZXQJIUFRDGVHLKPMESOANYB"	0	7	FALSE
"main"	23	"AN14 "	" oneCued "	0	" right "	8	180	"A "	0	10	"B "	0	6	0	3	"XMADLKRFUYHGSPBQVZTOINJE"	"BKDLTONUYJPZIHMFSQGXEAVR"	"IPTORVLUXGYDQNZAEBSHFMKJ"	"ARSHKFZJGNYMLEPUTVQIDOBX"	"SFXPNKEUDZRTLQVAYIMBJGHO"	"GOXQMEJIDFUPKRSHYALTVBZN"	"HSQPNZEIKTBRYAODVUGLJFMX"	"AKJPGOLQTNVMIXUBEHYSRZDF"	0	13	FALSE
"main"	24	"AN14 "	" oneCued "	0	" right "	8	0	"H "	0	10	"D "	0	4	0	-3	"JHMDYZVOFAIBSQUNXRLETKGP"	"VDEXBLKTOMIAFPGSJUHYNQZR"	"IXLEAJVBTYPRFMDQZSNOHUKG"	"RNTVAEKSHJLQZDMOIFGBXUPY"	"ERQALZVHOIDSKXUNJPYMBFTG"	"EVKPUIMQGBOXFNJTALDZRYHS"	"JBAKZOQGNFIUMESYDVPHXTLR"	"IZVQPAGJTEDMFSUXROKBYHLN"	0	7	FALSE
"main"	31	"AN14 "	" oneCued "	0	" right "	8	0	"O "	0	9	"B "	0	0	0	3	"YDXPEFHZKBAIOMQNRTJSVGLU"	"NOAUMPXKSYDHBZFIETGLVJQR"	"FOHZNASGUBEJYKTVQLMRPIXD"	"DXPZENIKQARHMJLTYOUFSGBV"	"ZRSKFHAUNDIVLMEYOGPQXJBT"	"VULKEBFJQRHSTAGXDZOPYMIN"	"YOQBRDNLMTAPIFGJHKSEUZXV"	"DBPHEAVYMSTGINLXKURJOQFZ"	0	12	FALSE
"main"	33	"AN14 "	" oneCued "	0	" right "	8	45	"L "	0	7	"D "	0	5	0	14	"MOQXBHLAIYNSPRFZVTUGDKEJ"	"NAUFGTBPREZYDVKXQLSHIJMO"	"MQGFHDRTYKBNVSLPJXAIUEOZ"	"EOBRYFTJUXNHIPVAZQDKGSML"	"AVRGELMUKPOSXTJHNZDIQYFB"	"EUPZGRXDOBVQTJYHKSMIALNF"	"KPMVDFSNRYUTBXJOIHGLQZEA"	"BMSQALHFGZXJOREKVYUIPNDT"	0	21	FALSE
"main"	35	"AN14 "	" oneCued "	0	" right "	8	315	"K "	0	9	"D "	0	4	0	6	"XHOGZUEBKYMARDJSPTQVIFNL"	"IROQYATHZNSEXMPUVLKFGJDB"	"NSUGJVZRFBPOTIYLQHMEAXDK"	"DJLTZIOGERXKQFABMUVPHYNS"	"QAPUOSMJXDZBFGNKVIERLYTH"	"ATHZXBNMLJEKYGVROUQFDSPI"	"XUVGDAMFPLIEBJRYTQKOZSNH"	"BZIELHROMJSUVKPNGYXADQTF"	0	15	FALSE
"main"	38	"AN14 "	" oneCued "	0	" right "	8	225	"H "	0	7	"G "	0	7	0	3	"UKMQDAHXRJOFSGBLZNTVYPIE"	"FDBSVNPQIMJKLOTEHZAGUXRY"	"MJIYXAZVKETLQPBGSFRDUNHO"	"PYLRASMQXDFOZVEKGHTIJBNU"	"PZTYKSIVJUEQFGABRXMNDOLH"	"AXYMNBJISETGUFVHQZDRLOKP"	"NLDTZQPKGUFRSVBEIYXJMOHA"	"JZADTKVGXIHFPNSEQULBORMY"	0	10	FALSE
"main"	40	"AN14 "	" oneCued "	0	" right "	8	0	"T "	0	7	"O "	0	7	0	3	"LMJNYXAUSTGPRZFDOIKHVQEB"	"ERJZUKQBNFGVTAPOIDXYMHSL"	"RNPJKDYOHUVAQXGBIFMSTZLE"	"OBZJYQUVEMDHFXLASKPIGTNR"	"POKXHBJDZNLYATFGUMESRQVI"	"YARMVGTXDZIEOFHPNUQSLBKJ"	"RMTGLDFNKEASVIUZXHBJYQOP"	"UDNHEBPOAXTZYFJKGVQSIMRL"	0	10	FALSE
"main"	41	"AN14 "	" oneCued "	0	" right "	8	135	"R "	0	8	"R "	1	0	0	0	"LEQPVFOJRKXGTZMYNHDBISUA"	"MLVJXURSNYAKFDPEBTGZQIOH"	"NBYRGTFAVMISHUKLPEZXQDJO"	"ZJIVKDSENBRYXTMUPHAOQLGF"	"DMUSERZNJQYXFLIKBAOVHPTG"	"RPEIMVLHOKGNSJUADXTBFQZY"	"AQDRKUXHLOVMSENYZTIBGFPJ"	"FDGHBZRQYIASPJOVNLMUKETX"	0	8	FALSE
