"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"correctPos"	"responsePos"
"main"	21	"charlieConf "	" oneCued "	0	" right "	2	45	"E "	0	"E "	1	1	0	0	"SOTZNHAKQFXIUBGLJYMDRWEPVC"	"ILCRBWKZPGEMVTASFNDHXYJUOQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	10
"main"	23	"charlieConf "	" oneCued "	0	" right "	2	135	"G "	0	"G "	1	0	0	0	"TNAMKYBHIGUSOERCZJFQDWVXLP"	"EABKZPXRJLTMOSYWHDNIVCQFGU"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	9
"main"	24	"charlieConf "	" oneCued "	0	" right "	2	270	"E "	0	"H "	0	0	0	19	"ZMDSOFHNLBGYUJQRVKICAXPTWE"	"MDGCSXQBIRONZHKLWEVYUFJPTA"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	25
"main"	28	"charlieConf "	" oneCued "	0	" right "	2	90	"C "	0	"C "	1	1	0	0	"ZOFSBNLHQRMYUTDJPIGWKACXEV"	"MJBZVUCODQLNSFPWRAXEKTYGIH"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	6
"main"	29	"charlieConf "	" oneCued "	0	" right "	2	135	"P "	2	"K "	0	1	0	1	"YVWMPNOSBQGFEXUALJZTDIHKRC"	"CZRLSIFQTKPYMJVHEAWNOGXDUB"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	10
"main"	33	"charlieConf "	" oneCued "	0	" right "	2	180	"P "	0	"Q "	0	1	0	1	"LUAXCEOZINKJQFTSYWHDGPVBRM"	"MONUSVFLDQPYXHIKTGEBACWZRJ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	10
"main"	35	"charlieConf "	" oneCued "	0	" right "	2	225	"P "	2	"P "	1	0	0	0	"QLNMWKPVCRHGFTJDUXOAZIESBY"	"JTHRGLBNOIFXAZEWMQKVUPCSDY"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	6
"main"	37	"charlieConf "	" oneCued "	0	" right "	2	45	"F "	0	"Q "	0	1	0	1	"VUFPHAKBJLOXYDRMWZQIGENTSC"	"YAMZDEJQFIKOSTGBPCHNVXRULW"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	8
"main"	40	"charlieConf "	" oneCued "	0	" right "	2	135	"P "	0	"V "	0	1	0	1	"RBAKHNDJSOIQZUCGVXMPYEFTLW"	"OKBLGHVPRWAYFEZJTDIQNSXCMU"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	7
"main"	41	"charlieConf "	" oneCued "	0	" right "	2	45	"E "	0	"R "	0	1	0	3	"WPJMNQOCYRSLUFGTIHEKBXDVAZ"	"NCTFBXHAPRJYEISKLODMGWZUVQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	12
"main"	43	"charlieConf "	" oneCued "	0	" right "	2	270	"I "	0	"H "	0	0	0	-8	"FILCVKQOXHRDEUANPTSBYJGZWM"	"BZHDYEOQMNLVPRTISGFKJCUXWA"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	1
"main"	46	"charlieConf "	" oneCued "	0	" right "	2	315	"W "	2	"W "	1	1	0	0	"AWLGDQCUPSZJMEKRFYIBTNXHVO"	"DAZOBKHWUPYGFJISTLMRNXVECQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	7
"main"	49	"charlieConf "	" oneCued "	0	" right "	2	270	"A "	0	"X "	0	0	0	-1	"MCULEIAXFTKONHZRVBPWJQYDSG"	"NATSODXKVRWBCMEYULGZQFPJHI"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	6
"main"	50	"charlieConf "	" oneCued "	0	" right "	2	315	"I "	2	"Y "	0	1	0	-5	"OCYLHQWSTPVIBRNUXJEGDAMFZK"	"ORNWIHAUEYTLCVFJMKXGPBSQZD"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	4
"main"	57	"charlieConf "	" oneCued "	0	" right "	2	180	"M "	0	"V "	0	0	0	2	"QCDKXRNOVYMTSIEPALUFJGWHZB"	"TVGEWQMLKJBRDZSNXAHOIPUYFC"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	10
"main"	58	"charlieConf "	" oneCued "	0	" right "	2	135	"G "	0	"Z "	0	0	0	1	"CSMHYVZGKOTUDIRQWXLNBJAFPE"	"YAFGISXPDBWTQUCLNREZMKJOVH"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	7
"main"	60	"charlieConf "	" oneCued "	0	" right "	2	180	"M "	0	"W "	0	0	0	5	"EGNVOHUQBIWKTYRMZLDAJSFPCX"	"JQEOVNBSGTYLWIPUFZXHAMKRDC"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	15
"main"	61	"charlieConf "	" oneCued "	0	" right "	2	90	"J "	2	"X "	0	0	0	-8	"GJBNEQVLTXUWOHPFRYDMSCKIZA"	"KGDZTCWSXRQHLIVPAUOJNYEFMB"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	1
"main"	64	"charlieConf "	" oneCued "	0	" right "	2	315	"Q "	0	"Y "	0	0	0	1	"ORGKVDYQMLITSHBNPWUCZAEFJX"	"NSOECIVMGJQPYXBZHRLDFAUTKW"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	7
"main"	66	"charlieConf "	" oneCued "	0	" right "	2	225	"W "	0	"X "	0	1	0	-10	"TYQJDFUKCLMGPZVAXIWBHROSEN"	"WEJSOFUCBIXLYRGTKADHMPVZNQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	0
"main"	67	"charlieConf "	" oneCued "	0	" right "	2	90	"I "	0	"I "	1	1	0	0	"WTLUOBNPHIZYXFCRJKMDVSAQGE"	"ADGPERBMTCIJHKNXFLSUWQOVYZ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	10
"main"	68	"charlieConf "	" oneCued "	0	" right "	2	270	"O "	0	"Z "	0	0	0	1	"MENPUQAIZOBDCGXFLTVYKWJHRS"	"QORJKDELFVYMZXUSTIWGPAHNCB"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	9
"main"	69	"charlieConf "	" oneCued "	0	" right "	2	0	"C "	0	"N "	0	1	0	1	"THPJQGFMCRYSUVXZAIKLDENWBO"	"GEBJDVTNCZMWXLQRUKHAISPYOF"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	8
"main"	72	"charlieConf "	" oneCued "	0	" right "	2	180	"C "	0	"C "	1	1	0	0	"AQBYGKZJSOMFTWDNLPRXHUICEV"	"LGZUDFIVCEWQTAKSBMPONHYRXJ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	8
"main"	76	"charlieConf "	" oneCued "	0	" right "	2	90	"W "	2	"J "	0	1	0	4	"RWTZXFJPQANIEKYSUBVMOGCHLD"	"ERGKUOAVCQJMTHWBFLZDXNSIYP"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	14
"main"	77	"charlieConf "	" oneCued "	0	" right "	2	0	"E "	0	"E "	1	0	0	0	"PIYFSBWMERXDAKHGZTOCUVLQNJ"	"JQEKDWNOUHSXZGBFAVTLPMYIRC"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	8
"main"	80	"charlieConf "	" oneCued "	0	" right "	2	315	"D "	0	"O "	0	1	0	-3	"VIZGAYFWLNDKJPMERTCBUOSXQH"	"FBQDLIOPZRVEWYXMTCNJUHAGKS"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	3
"main"	83	"charlieConf "	" oneCued "	0	" right "	2	135	"O "	0	"R "	0	1	0	-1	"FXZPEHLBQWURTAJYSIMKCONVGD"	"PZKBNEGORFQVTDLXHJUCSYIMWA"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	7
